3,1,0,1,0
9,1,0,1,0
12,1,0,1,0
13,1,0,1,0
20,1,0,1,0
21,1,0,1,0
22,1,0,1,0
24,1,0,1,0
25,1,0,1,0
26,1,0,1,0
28,1,0,1,0
29,1,0,1,0
31,1,0,1,0
33,1,0,1,0
35,1,0,1,0
37,1,0,1,0
38,1,0,1,0
45,1,0,1,0
48,1,0,1,0
55,1,0,1,0
57,1,0,1,0
61,1,0,1,0
65,1,0,1,0
66,1,0,1,0
70,1,0,1,0
72,1,0,1,0
76,1,0,1,0
84,1,0,1,0
85,1,0,1,0
87,1,0,1,0
88,1,0,1,0
89,1,0,1,0
93,1,0,1,0
94,1,0,1,0
100,1,0,1,0
101,1,0,1,0
102,1,0,1,0
103,1,0,1,0
104,1,0,1,0
105,1,0,1,0
106,1,0,1,0
107,1,0,1,0
108,1,0,1,0
109,1,0,1,0
110,1,0,1,0
111,1,0,1,0
112,1,0,1,0
113,1,0,1,0
114,1,0,1,0
115,1,0,1,0
116,1,0,1,0
117,1,0,1,0
118,1,0,1,0
119,1,0,1,0
120,1,0,1,0
121,1,0,1,0
122,1,0,1,0
124,1,0,1,0
125,1,0,1,0
126,1,0,1,0
127,1,0,1,0
128,1,0,1,0
129,1,0,1,0
130,1,0,1,0
131,1,0,1,0
132,1,0,1,0
133,1,0,1,0
134,1,0,1,0
135,1,0,1,0
136,1,0,1,0
137,1,0,1,0
138,1,0,1,0
139,1,0,1,0
140,1,0,1,0
141,1,0,1,0
142,1,0,1,0
143,1,0,1,0
144,1,0,1,0
145,1,0,1,0
146,1,0,1,0
147,1,0,1,0
148,1,0,1,0
149,1,0,1,0
150,1,0,1,0
151,1,0,1,0
152,1,0,1,0
153,1,0,1,0
154,1,0,1,0
155,1,0,1,0
156,1,0,1,0
159,1,0,1,0
160,1,0,1,0
162,1,0,1,0
163,1,0,1,0
164,1,0,1,0
165,1,0,1,0
166,1,0,1,0
168,1,0,1,0
169,1,0,1,0
170,1,0,1,0
171,1,0,1,0
172,1,0,1,0
173,1,0,1,0
176,1,0,1,0
179,1,0,1,0
182,1,0,1,0
183,1,0,1,0
184,1,0,1,0
186,1,0,1,0
187,1,0,1,0
188,1,0,1,0
189,1,0,1,0
190,1,0,1,0
191,1,0,1,0
192,1,0,1,0
196,1,0,1,0
197,1,0,1,0
198,1,0,1,0
201,1,0,1,0
202,1,0,1,0
203,1,0,1,0
204,1,0,1,0
205,1,0,1,0
206,1,0,1,0
207,1,0,1,0
208,1,0,1,0
209,1,0,1,0
210,1,0,1,0
211,1,0,1,0
212,1,0,1,0
233,1,0,1,0
234,1,0,1,0
235,1,0,1,0
237,1,0,1,0
239,1,0,1,0
241,1,0,1,0
242,1,0,1,0
243,1,0,1,0
244,1,0,1,0
245,1,0,1,0
